512,3.52289,1,0.0402737
512,1.86557,2,0.0402737
512,1.60875,3,0.0402737
512,1.47554,4,0.0402737
512,1.20137,5,0.0402737
512,1.04428,6,0.0402738
512,1.79148,7,0.0402741
512,7.42076,8,0.0402765
1024,15.2788,1,0.0578281
1024,8.25639,2,0.0578281
1024,5.83017,3,0.0578281
1024,4.70412,4,0.0578281
1024,4.52116,5,0.0578281
1024,4.05011,6,0.0578281
1024,4.38255,7,0.0578282
1024,8.59942,8,0.0578306
2048,66.9382,1,0.0820855
2048,37.1345,2,0.0820855
2048,27.2914,3,0.0820855
2048,23.4929,4,0.0820855
2048,21.7191,5,0.0820855
2048,22.2462,6,0.0820855
2048,27.6134,7,0.0820849
2048,34.6512,8,0.0820861
