512,2.22711,1,0.0402737
512,1.13851,2,0.0402737
512,0.777652,3,0.0402737
512,0.584296,4,0.0402737
512,0.526073,5,0.0402737
512,0.831037,6,0.0402738
512,1.30276,7,0.0402742
512,5.59083,8,0.0402764
1024,9.4939,1,0.0578281
1024,4.88966,2,0.0578281
1024,3.34172,3,0.0578281
1024,2.61676,4,0.0578281
1024,2.18361,5,0.0578281
1024,2.57049,6,0.0578282
1024,3.98154,7,0.0578284
1024,10.8481,8,0.0578266
2048,42.9693,1,0.0820855
2048,23.0002,2,0.0820855
2048,16.8643,3,0.0820855
2048,13.5646,4,0.0820855
2048,11.6042,5,0.0820855
2048,10.9529,6,0.0820855
2048,15.5535,7,0.0820858
2048,22.4566,8,0.0820861
